rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,name,position,velocity,effort
709028000000,,35450,,709,22000000,'',"[joint_1, joint_2]","[1.5482698930095982, -1.5903992290525597]","[7.841451554919943e-15, -1.5800778925285225e-13]","[0.6519032097120636, 0.6119768715767826]"
709042000000,,35451,,709,42000000,'',"[joint_1, joint_2]","[1.548269893009599, -1.5903992290525597]","[-8.36005933533765e-15, -1.4181234989476058e-13]","[0.6519032096942734, 0.6119768715767826]"
709062000000,,35452,,709,62000000,'',"[joint_1, joint_2]","[1.548269893009599, -1.5903992290525597]","[-7.890369401689773e-15, -1.4231239748923805e-13]","[0.651903209712037, 0.6119768715767826]"
709082000000,,35453,,709,82000000,'',"[joint_1, joint_2]","[1.548269893009599, -1.5903992290525597]","[-7.427692900845162e-15, -1.4280272114548104e-13]","[0.651903209712037, 0.6119768715767826]"
709102000000,,35454,,709,102000000,'',"[joint_1, joint_2]","[1.548269893009599, -1.5903992290525597]","[-6.972321212137672e-15, -1.432834631650247e-13]","[0.651903209712037, 0.6119768715767826]"
709122000000,,35455,,709,122000000,'',"[joint_1, joint_2]","[1.548269893009599, -1.5903992290525597]","[-7.189080331471837e-15, -1.4308372601979855e-13]","[0.651903209712037, 0.6119768715767826]"
709142000000,,35456,,709,142000000,'',"[joint_1, joint_2]","[1.5482698930095982, -1.5903992290525597]","[9.178848815998703e-15, -1.5943680159750603e-13]","[0.6519032097120636, 0.6119768715767826]"
709162000000,,35457,,709,162000000,'',"[joint_1, joint_2]","[1.5482698930095982, -1.5903992290525597]","[8.745940441052397e-15, -1.5897266819999215e-13]","[0.6519032097120636, 0.6119768715767826]"
709182000000,,35458,,709,182000000,'',"[joint_1, joint_2]","[1.5482698930095982, -1.5903992290525597]","[7.65409464325087e-15, -1.5783290066616676e-13]","[0.6519032097120636, 0.6119768715767826]"
709202000000,,35459,,709,202000000,'',"[joint_1, joint_2]","[1.5482698930095982, -1.5903992290525597]","[7.90424041323401e-15, -1.580678676057351e-13]","[0.6519032097120636, 0.6119768715767826]"
709222000000,,35460,,709,222000000,'',"[joint_1, joint_2]","[1.548269893009599, -1.5903992290525597]","[-8.408740012882249e-15, -1.4176692182373343e-13]","[0.651903209712037, 0.6119768715767826]"
709242000000,,35461,,709,242000000,'',"[joint_1, joint_2]","[1.548269893009599, -1.5903992290525597]","[-7.940872894136863e-15, -1.4226677290656714e-13]","[0.651903209712037, 0.6119768715767826]"
709262000000,,35462,,709,262000000,'',"[joint_1, joint_2]","[1.548269893009599, -1.5903992290525597]","[-6.81258350377972e-15, -1.434343095685353e-13]","[0.651903209712037, 0.6119768715767826]"
709282000000,,35463,,709,282000000,'',"[joint_1, joint_2]","[1.548269893009599, -1.5903992290525597]","[-7.026104416156531e-15, -1.4323488413143376e-13]","[0.651903209712037, 0.6119768715767826]"
709302000000,,35464,,709,302000000,'',"[joint_1, joint_2]","[1.548269893009599, -1.5903992290525597]","[-7.243920632608869e-15, -1.4303322252735146e-13]","[0.651903209712037, 0.6119768715767826]"
709322000000,,35465,,709,322000000,'',"[joint_1, joint_2]","[1.5482698930095982, -1.5903992290525597]","[9.236589357947134e-15, -1.5949074743185077e-13]","[0.6519032097120636, 0.6119768715767826]"
709342000000,,35466,,709,342000000,'',"[joint_1, joint_2]","[1.5482698930095982, -1.5903992290525597]","[8.138677957210318e-15, -1.5834567408364378e-13]","[0.6519032097120636, 0.6119768715767826]"
709362000000,,35467,,709,362000000,'',"[joint_1, joint_2]","[1.5482698930095982, -1.5903992290525597]","[7.716232980261445e-15, -1.5789113587535639e-13]","[0.6519032097120636, 0.6119768715767826]"
709382000000,,35468,,709,382000000,'',"[joint_1, joint_2]","[1.5482698930095982, -1.5903992290525597]","[7.967266440773307e-15, -1.5812818312784319e-13]","[0.6519032097120636, 0.6119768715767826]"
709402000000,,35469,,709,402000000,'',"[joint_1, joint_2]","[1.548269893009599, -1.5903992290525597]","[-7.790189120952112e-15, -1.4240368731216133e-13]","[0.651903209712037, 0.6119768715767826]"
709422000000,,35470,,709,422000000,'',"[joint_1, joint_2]","[1.548269893009599, -1.5903992290525597]","[-7.324341328752981e-15, -1.429000011854073e-13]","[0.651903209712037, 0.6119768715767826]"
709442000000,,35471,,709,442000000,'',"[joint_1, joint_2]","[1.548269893009599, -1.5903992290525597]","[-6.865588284520052e-15, -1.4338434140091089e-13]","[0.651903209712037, 0.6119768715767826]"
709462000000,,35472,,709,462000000,'',"[joint_1, joint_2]","[1.548269893009599, -1.5903992290525597]","[-7.080104460609887e-15, -1.431846787945841e-13]","[0.651903209712037, 0.6119768715767826]"
709482000000,,35473,,709,482000000,'',"[joint_1, joint_2]","[1.548269893009599, -1.5903992290525597]","[-6.631298971309513e-15, -1.4366264932232434e-13]","[0.651903209712037, 0.6119768715767826]"
709502000000,,35474,,709,502000000,'',"[joint_1, joint_2]","[1.5482698930095982, -1.5903992290525597]","[8.627288065801014e-15, -1.588630147027724e-13]","[0.6519032097120636, 0.6119768715767826]"
709522000000,,35475,,709,522000000,'',"[joint_1, joint_2]","[1.5482698930095982, -1.5903992290525597]","[8.199360244584564e-15, -1.5840136819399164e-13]","[0.6519032097120636, 0.6119768715767826]"
709542000000,,35476,,709,542000000,'',"[joint_1, joint_2]","[1.5482698930095982, -1.5903992290525597]","[7.778588157706517e-15, -1.5794947950476326e-13]","[0.6519032097120636, 0.6119768715767826]"
709562000000,,35477,,709,562000000,'',"[joint_1, joint_2]","[1.5482698930095982, -1.5903992290525597]","[8.030462721935003e-15, -1.5818801753523723e-13]","[0.6519032097120636, 0.6119768715767826]"
709582000000,,35478,,709,582000000,'',"[joint_1, joint_2]","[1.548269893009599, -1.5903992290525597]","[-7.84015051231296e-15, -1.4235773746883867e-13]","[0.651903209712037, 0.6119768715767826]"
709602000000,,35479,,709,602000000,'',"[joint_1, joint_2]","[1.548269893009599, -1.5903992290525597]","[-7.375908694581823e-15, -1.4285146958566142e-13]","[0.651903209712037, 0.6119768715767826]"
709622000000,,35480,,709,622000000,'',"[joint_1, joint_2]","[1.548269893009599, -1.5903992290525597]","[-6.918761624816888e-15, -1.4333387856604526e-13]","[0.651903209712037, 0.6119768715767826]"
709642000000,,35481,,709,642000000,'',"[joint_1, joint_2]","[1.548269893009599, -1.5903992290525597]","[-7.134483975823613e-15, -1.4313398556675683e-13]","[0.651903209712037, 0.6119768715767826]"
709662000000,,35482,,709,662000000,'',"[joint_1, joint_2]","[1.5482698930095982, -1.5903992290525597]","[2.6888532362028678e-14, -1.771616639739508e-13]","[0.6519032097476174, 0.6119768715767826]"
709681000000,,35483,,709,682000000,'',"[joint_1, joint_2]","[1.5482698930095982, -1.5903992290525597]","[8.670852664344197e-15, -1.5890180881175664e-13]","[0.6519032097120636, 0.6119768715767826]"
709702000000,,35484,,709,702000000,'',"[joint_1, joint_2]","[1.5482698930095982, -1.5903992290525597]","[8.260244972833203e-15, -1.584578076933331e-13]","[0.6519032097120636, 0.6119768715767826]"
709722000000,,35485,,709,722000000,'',"[joint_1, joint_2]","[1.5482698930095982, -1.5903992290525597]","[7.841451554919943e-15, -1.5800778925285225e-13]","[0.6519032097120636, 0.6119768715767826]"
709742000000,,35486,,709,742000000,'',"[joint_1, joint_2]","[1.548269893009599, -1.5903992290525597]","[-8.36005933533765e-15, -1.4181234989476058e-13]","[0.6519032096942734, 0.6119768715767826]"
709762000000,,35487,,709,762000000,'',"[joint_1, joint_2]","[1.548269893009599, -1.5903992290525597]","[-7.890369401689773e-15, -1.4231239748923805e-13]","[0.651903209712037, 0.6119768715767826]"
709782000000,,35488,,709,782000000,'',"[joint_1, joint_2]","[1.548269893009599, -1.5903992290525597]","[-7.427692900845162e-15, -1.4280272114548104e-13]","[0.651903209712037, 0.6119768715767826]"
709802000000,,35489,,709,802000000,'',"[joint_1, joint_2]","[1.548269893009599, -1.5903992290525597]","[-6.972321212137672e-15, -1.432834631650247e-13]","[0.651903209712037, 0.6119768715767826]"
709822000000,,35490,,709,822000000,'',"[joint_1, joint_2]","[1.548269893009599, -1.5903992290525597]","[-7.189080331471837e-15, -1.4308372601979855e-13]","[0.651903209712037, 0.6119768715767826]"
709842000000,,35491,,709,842000000,'',"[joint_1, joint_2]","[1.5482698930095982, -1.5903992290525597]","[9.178848815998703e-15, -1.5943680159750603e-13]","[0.6519032097120636, 0.6119768715767826]"
709862000000,,35492,,709,862000000,'',"[joint_1, joint_2]","[1.5482698930095982, -1.5903992290525597]","[8.745940441052397e-15, -1.5897266819999215e-13]","[0.6519032097120636, 0.6119768715767826]"
709882000000,,35493,,709,882000000,'',"[joint_1, joint_2]","[1.5482698930095982, -1.5903992290525597]","[7.65409464325087e-15, -1.5783290066616676e-13]","[0.6519032097120636, 0.6119768715767826]"
709902000000,,35494,,709,902000000,'',"[joint_1, joint_2]","[1.5482698930095982, -1.5903992290525597]","[7.90424041323401e-15, -1.580678676057351e-13]","[0.6519032097120636, 0.6119768715767826]"
709922000000,,35495,,709,922000000,'',"[joint_1, joint_2]","[1.548269893009599, -1.5903992290525597]","[-8.408740012882249e-15, -1.4176692182373343e-13]","[0.651903209712037, 0.6119768715767826]"
709942000000,,35496,,709,942000000,'',"[joint_1, joint_2]","[1.548269893009599, -1.5903992290525597]","[-7.940872894136863e-15, -1.4226677290656714e-13]","[0.651903209712037, 0.6119768715767826]"
