rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,name,position,velocity,effort
328000000,,12,,0,328000000,'',"[joint_1, joint_2]","[-0.057738809768761, 0.021503745527634344]","[-0.23970169908999617, 0.03466841062257525]","[2.1299963180898245, 0.34088432095674065]"
348000000,,13,,0,348000000,'',"[joint_1, joint_2]","[-0.06253272328195436, 0.022144473558082467]","[-0.23957321930182301, 0.02972843172707962]","[2.2300217068002937, 0.4015313220859656]"
368000000,,14,,0,368000000,'',"[joint_1, joint_2]","[-0.06731646193197172, 0.022691212221469748]","[-0.23872714524511243, 0.025243953821619508]","[2.324811428340418, 0.45921227063237796]"
388000000,,15,,0,388000000,'',"[joint_1, joint_2]","[-0.07207611001263281, 0.02315288140619831]","[-0.23720464360812935, 0.02119619751501456]","[2.4143922087448795, 0.5138307972593452]"
408000000,,16,,0,408000000,'',"[joint_1, joint_2]","[-0.07679855378307998, 0.023537987859030274]","[-0.23504498357486875, 0.01756309060474534]","[2.498792671904339, 0.5653367568872125]"
428000000,,17,,0,428000000,'',"[joint_1, joint_2]","[-0.08147145117437482, 0.023854575635871456]","[-0.23228620673193923, 0.014320719393168924]","[2.5780493731112477, 0.6137129669970529]"
448000000,,18,,0,448000000,'',"[joint_1, joint_2]","[-0.086083211517467, 0.024110199751602224]","[-0.2289654978945304, 0.011444262266875033]","[2.652210076724818, 0.6589665349570799]"
468000000,,19,,0,468000000,'',"[joint_1, joint_2]","[-0.09062298059882679, 0.024311914805248414]","[-0.22511937119511122, 0.008908594770751954]","[2.7213353045657396, 0.701123088550764]"
488000000,,20,,0,488000000,'',"[joint_1, joint_2]","[-0.0950806281611083, 0.02446627335614071]","[-0.22078374352477614, 0.006688685679433898]","[2.785498804519809, 0.7402228459853428]"
508000000,,21,,0,508000000,'',"[joint_1, joint_2]","[-0.0994467361074598, 0.02457933072100449]","[-0.21599394073272188, 0.004759859546360684]","[2.844787350585184, 0.7763178544055598]"
528000000,,22,,0,528000000,'',"[joint_1, joint_2]","[-0.103712586386429, 0.024656654058511585]","[-0.21078466513564734, 0.0030979734190410557]","[2.8993001350698697, 0.8094699738554059]"
